Text,Language,cleaned_text
"அதேபோல் பெரும்பாலான விடயங்கள் உள்ளடக்கப்பட்ட பெரிய கட்டுரைகள், சிறப்புக் கட்டுரைகள் என வகைப்படுத்தப்படும்.",Tamil,அதபல பரமபலன வடயஙகள உளளடககபபடட பரய கடடரகள சறபபக கடடரகள என வகபபடததபபடம
"சில விக்கிப்பீடியாக்களில், ஒவ்வொரு நாளும் தொகுப்பாளர்களால் தேர்ந்தெடுக்கப்பட்ட ""சிறப்புக் கட்டுரை”யொன்று விக்கிப்பீடியாவின் முதற்பக்கத்தில் காட்டப்படும்.",Tamil,சல வககபபடயககளல ஒவவர நளம தகபபளரகளல தரநதடககபபடட சறபபக கடடரயனற வககபபடயவன மதறபககததல கடடபபடம
"[72][73] ‘சியாகோமோ பொதேரி’ எனும் ஆய்வாளரின் கண்டுபிடிப்பின்படி, சில தொகுப்பாளர்கள், ஊக்கத்துடன் குறிப்பிட்ட ஒரு கட்டுரையைத் தொகுப்பதன் மூலமே, சிறப்புக்கட்டுரைத் தரம் எட்டப்படுகிறது.",Tamil,சயகம பதர எனம ஆயவளரன கணடபடபபனபட சல தகபபளரகள ஊககததடன கறபபடட ஒர கடடரயத தகபபதன மலம சறபபககடடரத தரம எடடபபடகறத
"[74] 2010-இல் மேற்கொள்ளப்பட்ட ஆய்வொன்று, சிறப்புக்கட்டுரைகளிடையே, அவற்றின் தரங்கள் வேறுபட்டிருப்பதைக் கண்டறிந்ததோடு, கட்டுரைகளின் தரத்தைக் கணிப்பதில் ‘குழுச் செயற்பாடு’, போதிய தாக்கத்தை ஏற்படுத்தவில்லை எனவும் கருத்து வெளியிட்டது.",Tamil,இல மறகளளபபடட ஆயவனற சறபபககடடரகளடய அவறறன தரஙகள வறபடடரபபதக கணடறநததட கடடரகளன தரததக கணபபதல கழச சயறபட பதய தககதத ஏறபடததவலல எனவம கரதத வளயடடத
"[75] 2007-இல், அச்சுவழிப் பதிப்பொன்றை உருவாக்கும் நடவடிக்கையின் போது, ஆங்கில விக்கிப்பீடியா, கட்டுரைகளின் தரத்தைக் கணிப்பிடும் அளவுத்திட்டத்துக்கு எதிரான புதிய தரக்கணிப்பீட்டு முறையை அறிமுகப்படுத்தியது.",Tamil,இல அசசவழப பதபபனற உரவககம நடவடககயன பத ஆஙகல வககபபடய கடடரகளன தரததக கணபபடம அளவததடடததகக எதரன பதய தரககணபபடட மறய அறமகபபடததயத
"[76] விக்கிப்பீடியா தொகுப்பாளர்களின் குழுவொன்று, விக்கித்திட்டம் ஒன்றை உருவாக்கி, குறிப்பிட்ட ஒரு துறையில், தமது பங்களிப்புக்களை வழங்குகின்றது.",Tamil,வககபபடய தகபபளரகளன கழவனற வககததடடம ஒனற உரவகக கறபபடட ஒர தறயல தமத பஙகளபபககள வழஙககனறத
"இத்திட்டத்தின் ‘பேச்சுப் பக்கம்’ மூலம், பல்வேறு கட்டுரைகளிலும் மேற்கொள்ளப்படும் மாற்றங்களை ஒருங்கிணைப்பர்.",Tamil,இததடடததன பசசப பககம மலம பலவற கடடரகளலம மறகளளபபடம மறறஙகள ஒரஙகணபபர
"விக்கிப்பீடியா, கட்டற்ற “விக்கிமீடீயா” மென்பொருளில் இயங்குகிறது.",Tamil,வககபபடய கடடறற வககமடய மனபரளல இயஙககறத
"இது “பி.எச்.பி.”, “மைசீக்குவல்” ஆகிய ‘இணைய நிரல் மொழிகள்' மூலம் எழுதப்பட்டது.",Tamil,இத பஎசப மசககவல ஆகய இணய நரல மழகள மலம எழதபபடடத
"இவற்றோடு “எச்.டி.எம்.எல்.”, “சி.எசு.எசு.” ஆகியவையும் பக்கங்களை வடிவமைக்கப் பயன்படுத்தப்படுகின்றன.",Tamil,இவறறட எசடஎமஎல சஎசஎச ஆகயவயம பககஙகள வடவமககப பயனபடததபபடகனறன
"விக்கிப்பீடியா, ஒரு தனி ‘வழங்கி’யில், 2004 வரை இயங்கி வந்தது.",Tamil,வககபபடய ஒர தன வழஙகயல வர இயஙக வநதத
"அதன் பின்னர், “பல்நிலை வழங்கிக் கட்டமைப்பு”க்கு விக்கிப்பீடியா மாற்றப்பட்டது.",Tamil,அதன பனனர பலநல வழஙகக கடடமபபகக வககபபடய மறறபபடடத
"தற்போது 100-க்கும் மேற்பட்ட வழங்கிகள், உலகின் நான்கு பகுதிகளில் விக்கிப்பீடியாவை வழங்குகின்றன.",Tamil,தறபத ககம மறபடட வழஙககள உலகன நனக பகதகளல வககபபடயவ வழஙககனறன
"முதன்மைக் கட்டுரை: தமிழ் விக்கிப்பீடியா தமிழ் விக்கிப்பீடியா முயற்சியானது, 2003 ஆம் ஆண்டு ஆரம்பமானது.",Tamil,மதனமக கடடர தமழ வககபபடய தமழ வககபபடய மயறசயனத ஆம ஆணட ஆரமபமனத
"தற்போது இதில் 1,34,235 கட்டுரைகள் உள்ளன.",Tamil,தறபத இதல கடடரகள உளளன
"1,85,747 பயனர் கணக்குகள் பதிவு செய்யப்பட்டுள்ளன.",Tamil,பயனர கணகககள பதவ சயயபபடடளளன
"நியூயார்க்கைச் சேர்ந்த ஆசிரியர் ‘மைக்கேல் மாண்டி’ என்பவர், ஆங்கில விக்கியைப் புத்தகமாகத் தொகுத்துள்ளார்.",Tamil,நயயரககச சரநத ஆசரயர மககல மணட எனபவர ஆஙகல வககயப பததகமகத தகததளளர
".ஆங்கிலத்தில் அதிக சரளமாக மாற நாம் அனைவரும் விரைவான வழிகளைத் தேடுகிறோம், என்ன நடக்கிறது என்பது எனக்குத் தெரியும், நம் மூளையைச் சுற்றி ஒரு சில சொற்கள் உள்ளன, மேலும் இந்த முழு உரையாடலையும் அற்புதமான அற்புதமான குளிர் அல்லது காவியத்தைப் பயன்படுத்தி உருவாக்க வேண்டும், எனவே நாம் எப்படி உங்கள் அன்றாட வாழ்க்கையில் நீங்கள் பயன்படுத்தக்கூடிய சில புதிய புதிய ஆங்கில சொற்களைக் கற்றுக் கொள்ளுங்கள் மற்றும் உங்கள் சொற்களஞ்சியத்தை நிமிடங்களில் உயர்த்தலாம்.",Tamil,ஆஙகலததல அதக சரளமக மற நம அனவரம வரவன வழகளத தடகறம எனன நடககறத எனபத எனககத தரயம நம மளயச சறற ஒர சல சறகள உளளன மலம இநத மழ உரயடலயம அறபதமன அறபதமன களர அலலத கவயததப பயனபடதத உரவகக வணடம எனவ நம எபபட உஙகள அனறட வழககயல நஙகள பயனபடததககடய சல பதய பதய ஆஙகல சறகளக கறறக களளஙகள மறறம உஙகள சறகளஞசயதத நமடஙகளல உயரததலம
"எனவே இன்று நாம் 10 புதிய ஸ்மார்ட் சொற்களைக் கற்றுக்கொள்ளப் போகிறோம், அவற்றின் அர்த்தங்கள் மூல சொற்கள் மற்றும் எடுத்துக்காட்டு வாக்கியங்கள், எனவே அனைவருக்கும் இது போகலாம், இது நீங்கள் பார்த்துக் கொண்டிருக்கிறீர்கள்.",Tamil,எனவ இனற நம பதய ஸமரட சறகளக கறறககளளப பகறம அவறறன அரததஙகள மல சறகள மறறம எடததககடட வககயஙகள எனவ அனவரககம இத பகலம இத நஙகள பரததக கணடரககறரகள
இந்த வீடியோவில் நான் தினசரி பயன்பாட்டிற்காகவும் இந்த வீடியோவின் முடிவிலும் 10 ஸ்மார்ட் சொற்களை உங்களுக்கு தருகிறேன்.,Tamil,இநத வடயவல நன தனசர பயனபடடறககவம இநத வடயவன மடவலம ஸமரட சறகள உஙகளகக தரகறன
உண்மையிலேயே சரளமாக ஸ்மார்ட் சொல் எண்ணை ஒலிக்க நான் உங்களுக்கு ஒரு ஸ்மார்ட் டிப் கொடுக்கப் போகிறேன்.,Tamil,உணமயலய சரளமக ஸமரட சல எணண ஒலகக நன உஙகளகக ஒர ஸமரட டப கடககப பகறன
"ஒன்று சதுப்புநிலமானது சதுப்பு நிலத்தில் மூழ்கி அல்லது வெள்ளம் என்று பொருள், ஆனால் சதுப்பு நிலமானது பெரும்பாலும் நான் போன்ற வேலை சூழலில் பயன்படுத்தப்படுகிறது ' நான் வேலையுடன் சதுப்பு நிலத்தில் இருக்கிறேன், எனக்கு அதிக வேலை இருக்கிறது, இந்த வாரம் முழுவதும் நான் வேலையில் சிக்கியிருக்கிறேன், இப்போது சுவாசிக்க எனக்கு நேரமில்லை, இப்போது இந்த வார்த்தையின் மூலத்தைப் பார்ப்போம்.",Tamil,ஒனற சதபபநலமனத சதபப நலததல மழக அலலத வளளம எனற பரள ஆனல சதபப நலமனத பரமபலம நன பனற வல சழலல பயனபடததபபடகறத நன வலயடன சதபப நலததல இரககறன எனகக அதக வல இரககறத இநத வரம மழவதம நன வலயல சககயரககறன இபபத சவசகக எனகக நரமலல இபபத இநத வரததயன மலததப பரபபம
"சதுப்புநிலம் என்பது ஈரநிலத்தின் ஒரு பகுதி மற்றும் யாரோ ஒரு சதுப்பு நிலத்தில் தவறான இடத்தில் நுழைந்தால் அவர்கள் எளிதில் மூழ்கிவிடுவார்கள் மற்றும் சதுப்பு நிலத்தின் வினை வடிவம் மூழ்குவதைக் குறிக்கிறது, எனவே இந்த வார்த்தையை நீங்கள் எவ்வாறு பயன்படுத்தலாம் என்பது இங்கே.",Tamil,சதபபநலம எனபத ஈரநலததன ஒர பகத மறறம யர ஒர சதபப நலததல தவறன இடததல நழநதல அவரகள எளதல மழகவடவரகள மறறம சதபப நலததன வன வடவம மழகவதக கறககறத எனவ இநத வரததய நஙகள எவவற பயனபடததலம எனபத இஙக
"உங்களிடம் நிறைய பணிகள் உள்ளன என்று சொல்லலாம், உங்களுக்கு ஒரு சோதனை வருகிறது, உங்கள் நண்பர்கள் உங்களிடம் வருகிறார்கள், அவர்கள் சொல்கிறார்கள்.",Tamil,உஙகளடம நறய பணகள உளளன எனற சலலலம உஙகளகக ஒர சதன வரகறத உஙகள நணபரகள உஙகளடம வரகறரகள அவரகள சலகறரகள
"ஏய் ஏன் நீங்கள் எங்களுடன் ஹேங்கவுட் செய்யக்கூடாது என்று நீங்கள் அவர்களிடம் சொல்லலாம், நான் மிகவும் வருந்துகிறேன், ஆனால் நான் வேலையில் சிக்கியிருக்கிறேன் அல்லது சதுப்பு நிலத்தின் இடத்தில் நீங்கள் பயன்படுத்தக்கூடிய வேறு சில சொற்களை நான் சதுப்பு நிலமாகக் கொண்டுள்ளேன்.",Tamil,ஏய ஏன நஙகள எஙகளடன ஹஙகவட சயயககடத எனற நஙகள அவரகளடம சலலலம நன மகவம வரநதகறன ஆனல நன வலயல சககயரககறன அலலத சதபப நலததன இடததல நஙகள பயனபடததககடய வற சல சறகள நன சதபப நலமகக கணடளளன
செய்ய.,Tamil,சயய
என் தட்டில் நான் வேலையில் மூழ்கி இருக்கிறேன்.,Tamil,என தடடல நன வலயல மழக இரககறன
"ஸ்மார்ட் சொல் எண் இரண்டு கேட்ச் -22 என்பது பணிகள் குறித்து நான் மயங்கிவிட்டேன், இப்போது நான் உறுதியாக இருக்கிறேன் ' கேட்ச் -22 க்கு முன்பு இந்த வார்த்தையை நான் கேள்விப்பட்டிருக்கிறேன், அதாவது நீங்கள் மற்றதைச் செய்தாலன்றி ஒரு காரியத்தைச் செய்ய இயலாது, மற்றதைச் செய்ய முடியாது, ஏனெனில் நீங்கள் முதலில் செய்யவில்லை.",Tamil,ஸமரட சல எண இரணட கடச எனபத பணகள கறதத நன மயஙகவடடன இபபத நன உறதயக இரககறன கடச கக மனப இநத வரததய நன களவபபடடரககறன அதவத நஙகள மறறதச சயதலனற ஒர கரயததச சயய இயலத மறறதச சயய மடயத ஏனனல நஙகள மதலல சயயவலல
"நான் உங்களை குழப்பிவிட்டேன், எனவே உங்களுக்கு சில அனுபவங்களைத் தருகிறேன், வேலை அனுபவம் இல்லாமல் உங்களுக்கு வேலை கிடைக்காதபோது ஒரு பிடிப்பு -22 நிலைமை.",Tamil,நன உஙகள கழபபவடடன எனவ உஙகளகக சல அனபவஙகளத தரகறன வல அனபவம இலலமல உஙகளகக வல கடககதபத ஒர படபப நலம
ஆனால் நீங்கள் ஒரு வேலையைப் பெறும் வரை அனுபவத்தைப் பெற முடியாது -22 ஜோசப் ஹெல்லரால் அவரது புகழ்பெற்ற புத்தகமான கேட்ச் -22 என்ற புத்தகத்தில் அவர் இரண்டாம் உலகப் போரின்போது படையினருக்கு பொருந்தக்கூடிய சில முரண்பாடான விதிகளை விவரிக்கும் போது உருவாக்கப்பட்டது.,Tamil,ஆனல நஙகள ஒர வலயப பறம வர அனபவததப பற மடயத ஜசப ஹலலரல அவரத பகழபறற பததகமன கடச எனற பததகததல அவர இரணடம உலகப பரனபத படயனரகக பரநதககடய சல மரணபடன வதகள வவரககம பத உரவககபபடடத
"கேட்ச் -22 இன் மற்றொரு எடுத்துக்காட்டு உங்களுக்கு வங்கி கடன் தேவை, ஏனெனில் உங்களிடம் போதுமானதாக இல்லை.",Tamil,கடச இன மறறர எடததககடட உஙகளகக வஙக கடன தவ ஏனனல உஙகளடம பதமனதக இலல
"பணம் ஆனால் உங்களிடம் போதுமான பணம் இருப்பதாக வங்கிக்கு நிரூபிக்காவிட்டால் அந்த வங்கிக் கடனைப் பெற மாட்டீர்கள், எனவே அடுத்த முறை நீங்கள் ஒரு தந்திரமான சூழ்நிலையில் சிக்கியிருப்பதை நினைவில் கொள்க.",Tamil,பணம ஆனல உஙகளடம பதமன பணம இரபபதக வஙககக நரபககவடடல அநத வஙகக கடனப பற மடடரகள எனவ அடதத மற நஙகள ஒர தநதரமன சழநலயல சககயரபபத நனவல களக
கேட்ச் -22 என்ற வார்த்தையைப் பயன்படுத்த.,Tamil,கடச எனற வரததயப பயனபடதத
கேட்ச் -22 க்கு பதிலாக நீங்கள் பயன்படுத்தக்கூடிய பிற சொற்கள் முரண்பாடு அல்லது குழப்பமான ஸ்மார்ட் சொல்.,Tamil,கடச கக பதலக நஙகள பயனபடததககடய பற சறகள மரணபட அலலத கழபபமன ஸமரட சல
மூன்றாம் எண் suave suave suave என்றால் கண்ணியமான குளிர்ச்சியாக இருக்க அதிநவீனமாக இருக்க வேண்டும்.,Tamil,மனறம எண suave suave suave எனறல கணணயமன களரசசயக இரகக அதநவனமக இரகக வணடம
"சுவேவ் என்ற சொல் பலவிதமான தோற்றங்களைக் கொண்டுள்ளது, ஆனால் இந்த வார்த்தையின் ஒரு சுவாரஸ்யமான தோற்றம் இனிமையான அல்லது இனிமையான ருசிக்கும் உதாரணம் என்று பொருள்.",Tamil,சவவ எனற சல பலவதமன தறறஙகளக கணடளளத ஆனல இநத வரததயன ஒர சவரஸயமன தறறம இனமயன அலலத இனமயன ரசககம உதரணம எனற பரள
"அவர் மிகவும் தயாராக இருக்கிறார், குறிப்பாக பெண்கள் அல்லது பராக் ஒபாமாவுக்கு முன்னால் மிகவும் மென்மையாகவும் மெருகூட்டப்பட்டவராகவும் இருக்கிறார், இப்போது நீங்கள் அடுத்த முறை ஒரு விருந்தில் இருக்கும்போது நினைவில் கொள்ளுங்கள், இந்த நபரை நீங்கள் பார்க்கிறீர்கள்.",Tamil,அவர மகவம தயரக இரககறர கறபபக பணகள அலலத பரக ஒபமவகக மனனல மகவம மனமயகவம மரகடடபபடடவரகவம இரககறர இபபத நஙகள அடதத மற ஒர வரநதல இரககமபத நனவல களளஙகள இநத நபர நஙகள பரககறரகள
நல்ல நடத்தை மற்றும் கலாச்சார மற்றும் அதிநவீன.,Tamil,நலல நடதத மறறம கலசசர மறறம அதநவன
இந்த வார்த்தையைப் பயன்படுத்தி மூலையில் அங்கேயே இருக்கும் அந்த ஆடம்பரமான பையன் யார் என்று சொல்ல மறக்காதீர்கள் உடனடியாக உங்கள் சொற்களஞ்சியத்தை உருவாக்கும்.,Tamil,இநத வரததயப பயனபடதத மலயல அஙகய இரககம அநத ஆடமபரமன பயன யர எனற சலல மறககதரகள உடனடயக உஙகள சறகளஞசயதத உரவககம
"மிகவும் மென்மையானது, ஸ்மார்ட் சொல் எண் நான்கு கொடூரமான கொடூரமானது, கொடூரமான சொல் என்பது மிகவும் மோசமான கொடூரமான கொடூரமான பயங்கரமான தாக்குதல் அட்டூழியம் என்று அழைக்கப்படும் ஒரு லத்தீன் வேர் உள்ளது .இது கொடுமை என்ற வார்த்தையின் கொடூரமான அல்லது பயங்கரமான சில எடுத்துக்காட்டுகள் கொடூரமான வார்த்தையின் சில எடுத்துக்காட்டுகள் டெல்லியில் சமீபத்திய கற்பழிப்பு சம்பவங்கள் கொடூரமானவை அல்லது கைதிகள் சிகிச்சை பெறுகிறார்கள்.",Tamil,மகவம மனமயனத ஸமரட சல எண நனக கடரமன கடரமனத கடரமன சல எனபத மகவம மசமன கடரமன கடரமன பயஙகரமன தககதல அடடழயம எனற அழககபபடம ஒர லததன வர உளளத இத கடம எனற வரததயன கடரமன அலலத பயஙகரமன சல எடததககடடகள கடரமன வரததயன சல எடததககடடகள டலலயல சமபததய கறபழபப சமபவஙகள கடரமனவ அலலத கதகள சகசச பறகறரகள
"சில நேரங்களில் சிறைச்சாலைகளில் கொடூரமான முறையில் சில பொதுவான தவறான செயல்களைப் பற்றி பேச அன்றாட வாழ்க்கையிலும் பயன்படுத்தப்படுகிறது, அதை நீங்கள் பெரிதுபடுத்த விரும்புகிறீர்கள்.",Tamil,சல நரஙகளல சறசசலகளல கடரமன மறயல சல பதவன தவறன சயலகளப பறற பச அனறட வழககயலம பயனபடததபபடகறத அத நஙகள பரதபடதத வரமபகறரகள
உதாரணமாக அவரது அட்டவணை பழக்கவழக்கங்கள் கொடூரமானவை அல்லது அவளுடைய ஆடை உணர்வு மிகவும் கொடூரமானது அல்லது அவரது இலக்கணம் கொடூரமானது.,Tamil,உதரணமக அவரத அடடவண பழககவழககஙகள கடரமனவ அலலத அவளடய ஆட உணரவ மகவம கடரமனத அலலத அவரத இலககணம கடரமனத
எனவே அடுத்த முறை செய்திகளில் ஒரு கொடூரமான செயலை நீங்கள் கேட்கும்போது நினைவில் கொள்ளுங்கள்.,Tamil,எனவ அடதத மற சயதகளல ஒர கடரமன சயல நஙகள கடகமபத நனவல களளஙகள
"ஸ்மார்ட் சொல் எண் 5 பிரமாதமானது, பிரமாதமானது, பிரமாதமானது, ஆச்சரியமான ஆச்சரியம் என்று பொருள்.",Tamil,ஸமரட சல எண பரமதமனத பரமதமனத பரமதமனத ஆசசரயமன ஆசசரயம எனற பரள
"இப்போது நாம் இங்கே அற்புதமான வார்த்தையை அடிக்கடி பயன்படுத்துகிறோம் ' உதாரணமாக அற்புதமான அற்புதமான இடத்தில் நீங்கள் பயன்படுத்தக்கூடிய மற்றொரு சொல் இன்று எனது சோதனையில் ஒரு மகத்தான மதிப்பெண் பெற்றேன், அதாவது எனக்கு மிக அதிக மதிப்பெண் கிடைத்தது அல்லது.",Tamil,இபபத நம இஙக அறபதமன வரததய அடககட பயனபடததகறம உதரணமக அறபதமன அறபதமன இடததல நஙகள பயனபடததககடய மறறர சல இனற எனத சதனயல ஒர மகததன மதபபண பறறன அதவத எனகக மக அதக மதபபண கடததத அலலத
"எனக்கு மிகச்சிறந்த மதிப்பெண் கிடைத்தது, ஸ்டுபண்டஸ் என்ற சொல்லுக்கு கிளாசிக்கல் லத்தீன் வேர்கள் உள்ளன.",Tamil,எனகக மகசசறநத மதபபண கடததத ஸடபணடஸ எனற சலலகக களசககல லததன வரகள உளளன
"திகைத்துப் போவது மிகவும் பிரமாதமான ஒன்றை விவரிக்கப் பயன்படுகிறது, உதாரணமாக அவள் அந்த உடையில் பிரமாதமாக இருக்கிறாள் அல்லது இந்த பால்கனியில் இருந்து என்ன ஒரு அற்புதமான பார்வை அல்லது நான் இந்த பிரமாதமான புத்தகத்தைப் படித்துக்கொண்டிருக்கிறேன், நீங்கள் எப்படிப் போகிறீர்கள் என்று கீழே வைக்க முடியாது சொல்லுங்கள்.",Tamil,தகததப பவத மகவம பரமதமன ஒனற வவரககப பயனபடகறத உதரணமக அவள அநத உடயல பரமதமக இரககறள அலலத இநத பலகனயல இரநத எனன ஒர அறபதமன பரவ அலலத நன இநத பரமதமன பததகததப படததககணடரககறன நஙகள எபபடப பகறரகள எனற கழ வகக மடயத சலலஙகள
"மாணவர்களுக்கான இந்த அருமையான சேனலான உங்கள் நண்பர்கள் மற்றும் பிரமாதத்திற்கு பதிலாக நீங்கள் பயன்படுத்தக்கூடிய வேறு சில சொற்கள் நம்பமுடியாத அருமையானவை அல்லது விதிவிலக்காக நல்லவை, எனவே இந்த வீடியோவில் சீரான ஐந்து சொற்களைத் தொடர்வதற்கு முன்பு இந்த வீடியோவின் கீழ் ஒரு கருத்தை வைக்க நினைவில் கொள்க.",Tamil,மணவரகளககன இநத அரமயன சனலன உஙகள நணபரகள மறறம பரமதததறக பதலக நஙகள பயனபடததககடய வற சல சறகள நமபமடயத அரமயனவ அலலத வதவலககக நலலவ எனவ இநத வடயவல சரன ஐநத சறகளத தடரவதறக மனப இநத வடயவன கழ ஒர கரதத வகக நனவல களக
"இந்த பத்து சொற்களில் எது உங்களுக்கு பிடித்த ஸ்மார்ட் சொல் எண் ஆறு என்பது ஒரு பிழைத்திருத்தத்தில் உள்ளது என்பதைச் சொல்வது ஒரு சிக்கலான சூழ்நிலையில் இருக்க வேண்டும் என்பதற்கு உதாரணம் சிறுவன் நான் ஒரு பிழைத்திருத்தத்தில் இருக்கிறேன், ஏனென்றால் இதற்காக நான் இரண்டு வெவ்வேறு நண்பர்களுடன் திட்டங்களைச் செய்துள்ளேன் சாயங்காலம்.",Tamil,இநத பதத சறகளல எத உஙகளகக படதத ஸமரட சல எண ஆற எனபத ஒர பழததரததததல உளளத எனபதச சலவத ஒர சககலன சழநலயல இரகக வணடம எனபதறக உதரணம சறவன நன ஒர பழததரததததல இரககறன ஏனனறல இதறகக நன இரணட வவவற நணபரகளடன தடடஙகளச சயதளளன சயஙகலம
"நான் எனது தொலைபேசியை இழந்துவிட்டேன், நான் ஒரு பிழைத்திருத்தத்தில் இருக்கிறேன் அல்லது இன்று காலை எங்கள் பஸ் உடைந்துவிட்டது, நான் ஒரு பிழைத்திருத்தத்தில் இருக்கிறேன், எனது நண்பர் எப்போதுமே ஒரு பிழைத்திருத்தத்தில் இருக்கும்போது உதவிக்காக என்னிடம் திரும்புவார், போகும் போது அவர் மறந்துவிடுவார்.",Tamil,நன எனத தலபசய இழநதவடடன நன ஒர பழததரததததல இரககறன அலலத இனற கல எஙகள பஸ உடநதவடடத நன ஒர பழததரததததல இரககறன எனத நணபர எபபதம ஒர பழததரததததல இரககமபத உதவககக எனனடம தரமபவர பகம பத அவர மறநதவடவர
"அடுத்த முறை நீங்கள் பள்ளியிலிருந்து கணித வீட்டுப்பாடம் பெறும்போது, ​​உங்கள் கணித புத்தகத்தை பள்ளியில் விட்டுவிட்டால், நீங்கள் ஒரு உண்மையான தீர்வில் இருப்பதாக உங்கள் நண்பர்களிடம் சொல்லலாம், இப்போது சொல் பிழைத்திருத்தத்திற்கு ஏதாவது செய்ய வேண்டும் என்று நீங்கள் நினைக்கலாம் எதையாவது சரிசெய்தல்.",Tamil,அடதத மற நஙகள பளளயலரநத கணத வடடபபடம பறமபத உஙகள கணத பததகதத பளளயல வடடவடடல நஙகள ஒர உணமயன தரவல இரபபதக உஙகள நணபரகளடம சலலலம இபபத சல பழததரததததறக ஏதவத சயய வணடம எனற நஙகள நனககலம எதயவத சரசயதல
"ஆனால் ஒரு பிழைத்திருத்தத்தில் ஒரு சிக்கலான சூழ்நிலையில் இருப்பதைக் குறிக்கிறீர்கள், ஒரு பிழைத்திருத்தத்திற்குப் பதிலாக நீங்கள் பயன்படுத்தக்கூடிய பிற சொற்கள் நான் ஒரு சூப்பில் இருக்கிறேன் அல்லது நான் ' நான் ஒரு குழப்பத்தில் இருக்கிறேன் அல்லது நான் தொந்தரவு செய்யும் இடத்தில் இருக்கிறேன் அல்லது நான் ஒரு இடத்தில் இருக்கிறேன் ஸ்மார்ட் சொல் எண் 7 என்பது ஃப்ளூமொக்ஸ் ஃப்ளூமொக்ஸ் என்பது ஒருவரை குழப்புவது.",Tamil,ஆனல ஒர பழததரததததல ஒர சககலன சழநலயல இரபபதக கறககறரகள ஒர பழததரததததறகப பதலக நஙகள பயனபடததககடய பற சறகள நன ஒர சபபல இரககறன அலலத நன நன ஒர கழபபததல இரககறன அலலத நன தநதரவ சயயம இடததல இரககறன அலலத நன ஒர இடததல இரககறன ஸமரட சல எண எனபத ஃபளமகஸ ஃபளமகஸ எனபத ஒரவர கழபபவத
"இப்போது என்ன செய்ய வேண்டும் என்பதை அவர்கள் மறந்துவிடுகிறார்கள், அதற்கு பதிலாக நீங்கள் ஏன் ஃப்ளூமாக்ஸைப் பயன்படுத்தக்கூடாது என்பதற்குப் பதிலாக சிறுவன் முழுவதுமாகப் பார்த்தான் .அவள் வகுப்பில் ஒரு கேள்வியைக் கேட்டபோது அல்லது நாய் புளூமாக்ஸாக இருந்தபோது கண்ணாடியில் தனது சொந்த பிரதிபலிப்பில் அல்லது சுற்றுலாப் பயணி வெவ்வேறு பழக்கவழக்கங்களால் புளகாங்கிதம் அடைந்தார்.",Tamil,இபபத எனன சயய வணடம எனபத அவரகள மறநதவடகறரகள அதறக பதலக நஙகள ஏன ஃபளமகஸப பயனபடததககடத எனபதறகப பதலக சறவன மழவதமகப பரததன அவள வகபபல ஒர களவயக கடடபத அலலத நய பளமகஸக இரநதபத கணணடயல தனத சநத பரதபலபபல அலலத சறறலப பயண வவவற பழககவழககஙகளல பளகஙகதம அடநதர
"அவர் தனது பயணத்தின்போது அல்லது ஒரு நேர்காணலில் நாங்கள் ஏன் உங்களை வேலைக்கு அமர்த்த வேண்டும் என்று கேட்டபோது அவர் முற்றிலும் புழுக்கமாகப் பார்த்தார், எனவே அடுத்த முறை ஒரு தேர்வில் ஏதேனும் கேள்விகளில் நீங்கள் குழப்பமடைந்தால் நீங்கள்.",Tamil,அவர தனத பயணததனபத அலலத ஒர நரகணலல நஙகள ஏன உஙகள வலகக அமரதத வணடம எனற கடடபத அவர மறறலம பழககமகப பரததர எனவ அடதத மற ஒர தரவல ஏதனம களவகளல நஙகள கழபபமடநதல நஙகள
"நான் எப்போதும் இல்லை என்று எப்போதும் சொல்ல முடியும் பரீட்சைக்கு நான் நன்றாகத் தயாரித்தேன், சில கேள்விகளால் நான் புளூமாக்ஸிற்குப் பதிலாக பயன்படுத்தக்கூடிய பிற சொற்கள் குழப்பமான அல்லது குழப்பமான ஸ்மார்ட் சொல் எண் எட்டு என்பது ரெண்டெஸ்வஸ் ரெண்டெஸ்வஸ் ரெண்டெஸ்வஸ்.",Tamil,நன எபபதம இலல எனற எபபதம சலல மடயம பரடசகக நன நனறகத தயரததன சல களவகளல நன பளமகஸறகப பதலக பயனபடததககடய பற சறகள கழபபமன அலலத கழபபமன ஸமரட சல எண எடட எனபத ரணடஸவஸ ரணடஸவஸ ரணடஸவஸ
"சந்திப்பு அல்லது தேதி என்று சொல்வது மிகவும் பிரஞ்சு வழி, எடுத்துக்காட்டாக, சனிக்கிழமையன்று மதிய உணவுக்கு மேல் எனது நண்பர்களுடன் சந்திப்பேன் அல்லது எனது நண்பர்களுடன் மாலில் சந்திக்க திட்டமிட்டுள்ளேன் திரைப்படங்கள் ரெண்டெஸ்வஸ் ஒரு பெயர்ச்சொல்லாக அல்லது வினைச்சொல்லாக பயன்படுத்தப்படலாம் உதாரணத்திற்கு.",Tamil,சநதபப அலலத தத எனற சலவத மகவம பரஞச வழ எடததககடடக சனககழமயனற மதய உணவகக மல எனத நணபரகளடன சநதபபன அலலத எனத நணபரகளடன மலல சநதகக தடடமடடளளன தரபபடஙகள ரணடஸவஸ ஒர பயரசசலலக அலலத வனசசலலக பயனபடததபபடலம உதரணததறக
